id,text,label,type_,tweet_id
0,ايمان عز الدين:الجراد طلع علي المقطم وبعدين بيت د.مرسي في التجمع وبعدين حاصر قصر الرياسه   @ONtveg,1,training,'308488170838831104'
1,@AymanNour الى المدعو أيمن نور الحرامى من معك هم الذين قالوا عليك حرامى ونصاب اليك باحرامى حسنى مبارك مازال فى مصر انت الذى رحلت فى داهيه,0,training,'955724773216129024'
2,#بوتين ٦٥ سنه و بيغطس في بحيره متجمده و انا خايف اغسل وشي من السقعه,0,training,'954792171521048576'
3,"#قال أيه أنهاردة 20 مليون واحد في الشوارع عشان ""مرسي""",1,training,'363321598431862784'
4,@EmmanuelMacron وفي كل مره يرفض إيمانويل دعوة تميم لأنه كما سبق وذكرت لا يريد الوقوع بنفس الخطأ الذي وقع فيه ساركوزي وفي نهاية المطاف قرر تميم أن يغريهم بعقد صفقة أسلحة ليس من اجل الجيش القطري وإنما من اجل الجيش الإيراني والتركي!,0,training,'939204686632103936'
5,نقلا عن حركة التنوير الثورية : ﺿﺎﺑﻂ ﻓﻲ اﻟﺤﺮس اﻟﺠﻤﻬﻮري ﺑﻴﻘﻮل زﻳﺎرة ﻣﺮﺳﻲ ﻟﻄﻼب اﻻزﻫﺮ ﻓﻲ اﻟﻤﺴﺘﺸﻔﻲ ﻣﺘﺤﺪدة ﻣﻦ ﻳﻮﻣﻴﻦ ﻗﺒﻞ ﺗﺴﻤﻢ اﻟﻄﻼب ..,1,training,'319103357581131778'
6,#Syria الروس أعداء للشعب السوري كما تبين من استفتاء أجرته قاعدة حميميم لكن السفالة هي تبرير النتيجة بالقول أن أغلب الشعب السوري متطرفين .. عصابة بوتين غباؤهم مستفحل,0,training,'955331061705265153'
7,#أحييييييييييه لو بعد كل ده #أحمد_رفعت حكم براءة ... تبقى حاجة   #محاكمة_مبارك #محاكمة_القرن,0,training,'208834065523146752'
8,"@Abdurrahmanezz ""الوطنية للتغيير"" تتهم الرئيس بالاستعانة بأشخاص محسوبين على نظام مبارك ومحاولة استرضاء ""اليمين المتطرف"" #مصر #خلافات",0,training,'354648870707400704'
9,معلومة هامة:كتير مننا مش عارف ان #مرسي لسه محطوط على قوائم الممنوعين من السفر,1,training,'220968008800141312'
10,"مستثمري العاشر تؤيد ""السيسي"" لفترة ثانية..وتشكل لجانا لدعم حملة الانتخابات",0,training,'953978937402691584'
11,قنديل| الأقتصاد المصري ينزف لكنه صامد..والوضع العام كارثى لكنه مطمئن للغاية !! مترُصلوش بقى يا #مرسي هو كدا بقى تمام,1,training,'298222779285778432'
12,#وين_الشورت_يا_الروضان تركي بعر لايمثل السعودية حيلكم فيه بس هذا درباري قبل سنتين يدور المربرات في تويتر ولا احد شايفه شي ، لكن الي خلى القذافي رئيس ليه مايخلي تركي بعر مسئول الرياضة,0,training,'955417091871531008'
13,خالد عجاج رايح يغنى تسلم اﻷيادى فى فرح فى مرسى مطروح..#الاحوان جالهم هستيريا وضربوه..:-).,0,training,'376450592266547200'
14,@Elkeber888 لا #مرسي #العياط هيكسب حاجه تانيه لوحده هيكسب دراجه هوائيه علشان هو راجل عجله فتونسه شوية..... ههههههه,1,training,'210880650151079936'
