pairID	sentence1	sentence2	gold_label	Lexical Semantics_coarse	Predicate-Argument Structure_coarse	Logic_coarse	Knowledge_coarse	Symmetry/Collectivity	Factivity	Named entities	Quantifiers	Lexical entailment	Redundancy	Morphological negation	Lexical implication	Topicalization	Core Args	Nominalization	Anaphora/Coreference	Datives	Coordination scope	Prepositional phrases	Reciprocity	Causative/Inchoative	Restrictivity	Intersectivity	Active/Passive	Relative clauses	Adjectivation	Genitives/Partitives	Ellipsis/Implicits	Affixation	Conjunction	Non-monotone	Intervals/Numbers	Downward monotone	Upward monotone	Negation	Double Negation	Conditionals	Disjunction	Temporal	Existential	Universal	Common sense	World Knowledge
0	قررت اللجنة الأولمبية الدولية تأجيل أولمبياد طوكيو، مستندة في ذلك إلى الظروف الحالية	إستندت اللجنة الأولمبية الدولية في قرار تأجيل أولمبياد طوكيو إلى الظروف الحالية	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	إستندت اللجنة الأولمبية الدولية في تأجيل أولمبياد طوكيو إلى الظروف الحالية	قررت اللجنة الأولمبية الدولية تأجيل أولمبياد طوكيو، مستندة في ذلك إلى الظروف الحالية	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	قررت اللجنة الأولمبية الدولية في بلاغ لها تأجيل أولمبياد طوكيو	في بلاغ للجنة الأولمبية الدولية قررت تأجيل أولمبياد طوكيو	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	في بلاغ للجنة الأولمبية الدولية قررت تأجيل أولمبياد طوكيو	قررت اللجنة الأولمبية الدولية في بلاغ لها تأجيل أولمبياد طوكيو	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	قررت اللجنة الأولمبية الدولية في بلاغ لها تأجيل أولمبياد طوكيو، مستندة في ذلك إلى الظروف الحالية	قررت اللجنة الأولمبية الدولية في بلاغ لها تأجيل أولمبياد طوكيو، مستندة في القرار إلى الظروف الحالية	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	الخوارزمي أعطى أيضا نظام الأرقام العربي للحضارة الغربية	الخوارزمي أعطى أيضا الحضارة الغربية نظام الأرقام العربي	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	الخوارزمي أعطى أيضا الحضارة الغربية نظام الأرقام العربي	الخوارزمي أعطى أيضا نظام الأرقام العربي للحضارة الغربية	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	قيام الحرب العالمية الثانية وزيادة المنقولات أعطى فرصة كبيرة للنقل البري لكي يتقدم في البلاد	قيام الحرب العالمية الثانية وزيادة المنقولات أعطى للنقل البري فرصة كبيرة لكي يتقدم في البلاد	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	قيام الحرب العالمية الثانية وزيادة المنقولات أعطى للنقل البري فرصة كبيرة لكي يتقدم في البلاد	قيام الحرب العالمية الثانية وزيادة المنقولات أعطى فرصة كبيرة للنقل البري لكي يتقدم في البلاد	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	قيام الحرب العالمية الثانية وزيادة المنقولات أعطى فرصة كبيرة للنقل البري لكي يتقدم في البلاد	قيام الحرب العالمية الثانية وزيادة المنقولات أعطى النقل البري فرصة كبيرة لكي يتقدم في البلاد	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	قيام الحرب العالمية الثانية وزيادة المنقولات أعطى النقل البري فرصة كبيرة لكي يتقدم في البلاد	قيام الحرب العالمية الثانية وزيادة المنقولات أعطى فرصة كبيرة للنقل البري لكي يتقدم في البلاد	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	تتميز نور بصفات عديدة : مثل القلب الحنون والمتسامح كما رأيناها في الجزأين الأول والثاني من المسلسل	تتميز نور بصفات عديدة : مثل القلب الحنون والمتسامح كما رأينا نور في الجزأين الأول والثاني من المسلسل	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
