pairID	sentence1	sentence2	gold_label
4	حسنا ، لم أكن أفكر حتى حول ذلك ، لكن كنت محبطاً تماما ،وأنهيت الحديث معه مرة ثانية .	لم أتحدث معه مرة أخرى.	contradiction
5	حسنا ، لم أكن أفكر حتى حول ذلك ، لكن كنت محبطاً تماما ،وأنهيت الحديث معه مرة ثانية .	كنت مستاء جدا لدرجة أنني بدأت بالحديث معه مرة أخرى.	entailment
6	حسنا ، لم أكن أفكر حتى حول ذلك ، لكن كنت محبطاً تماما ،وأنهيت الحديث معه مرة ثانية .	دار بيننا حديث رائع.	neutral
7	واعتقدت أن ذلك شرف لي ، ولا يزال ، ولايزال ، كنت الوحيد برقم تسعة اثنان اثنان إي أكس أو والذي كان مجال مهنتي في سلاح الجو .	لم أكن على علم بأنني لم أكن الشخص الوحيد الذي كان في الميدان في ذلك اليوم.	neutral
8	واعتقدت أن ذلك شرف لي ، ولا يزال ، ولايزال ، كنت الوحيد برقم تسعة اثنان اثنان إي أكس أو والذي كان مجال مهنتي في سلاح الجو .	كان لدي إنطباع أنني كنت الشخص الوحيد الذي لديه هذا الرقم في مجال مهنة سلاح الجو AFFC.	entailment
9	واعتقدت أن ذلك شرف لي ، ولا يزال ، ولايزال ، كنت الوحيد برقم تسعة اثنان اثنان إي أكس أو والذي كان مجال مهنتي في سلاح الجو .	حصلنا جميعنا على نفس العدد بالضبط بغض النظر عن الامتيازات التي وعدنا بها، لقد كانت كلها كذبة.	contradiction
10	أخبروني ،إيه، أنه سيتم استدعائي من قبل شاب في النهاية سيقابلني .	لم يتم إخباري أبداً بأي شيء عن مقابلة أي شخص.	contradiction
11	أخبروني ،إيه، أنه سيتم استدعائي من قبل شاب في النهاية سيقابلني .	لقد أخبروني بأنهم سيقومون بإرسال شاب لأقابله.	entailment
12	أخبروني ،إيه، أنه سيتم استدعائي من قبل شاب في النهاية سيقابلني .	لقد جاء الشاب متأخراً قليلاً.	neutral
13	هناك الكثير تستطيع التحدث عنه  وأنا سوف أتاجاوز ذلك تماما .	أريد أن أخبرك بكل شيء أعرفه عن ذلك!	contradiction
14	هناك الكثير تستطيع التحدث عنه  وأنا سوف أتاجاوز ذلك تماما .	لن أتحدث عن ذلك ، على الرغم من أن هناك الكثير لتغطيته.	entailment
15	هناك الكثير تستطيع التحدث عنه  وأنا سوف أتاجاوز ذلك تماما .	لن أتحدث عن تاريخ المدينة لأن هناك الكثير مما يمكن قوله حولها.	neutral
19	كان ذلك الشيْ الأساسي الوحيد الذي أردنا أن ننقذه لأنه لم يكن هناك أي طريقة لإلقاء قنبلة هيدروجينية بقوة 20 ميغا 30 C 124 .	لم نهتم بحفظ أي شيء.	contradiction
20	كان ذلك الشيْ الأساسي الوحيد الذي أردنا أن ننقذه لأنه لم يكن هناك أي طريقة لإلقاء قنبلة هيدروجينية بقوة 20 ميغا 30 C 124 .	أردنا إنقاذ شيء واحد أكثر من الباقي.	entailment
21	كان ذلك الشيْ الأساسي الوحيد الذي أردنا أن ننقذه لأنه لم يكن هناك أي طريقة لإلقاء قنبلة هيدروجينية بقوة 20 ميغا 30 C 124 .	أردنا إنقاذ قنبلة h-bomb لأنه كان من الصعب التعامل معها.	neutral
28	لذلك أنا فعلا غير متأكد لماذا.	أنا متأكد من سبب ذلك.	contradiction
29	لذلك أنا فعلا غير متأكد لماذا.	لا أعرف لماذا قام بنقل المدارس.	neutral
30	لذلك أنا فعلا غير متأكد لماذا.	لا أعرف لماذا حدث هذا.	entailment
34	هذه هي فاني فلونو ، هي ترعرعت في أوغستا ، جورجيا ، وهي ستتحدث عن بعض قصص  طفولتها . ،	كان على فاني فلونو إعادة تعيين جدول الأعمال وهي غير قادرة على إخبارنا بأية قصص اليوم.	contradiction
35	هذه هي فاني فلونو ، هي ترعرعت في أوغستا ، جورجيا ، وهي ستتحدث عن بعض قصص  طفولتها . ،	فاني فلونو هنا وستتحدث إلينا عن قصص طفولتها التي نشأت في أوغستا ، جورجيا.	entailment
36	هذه هي فاني فلونو ، هي ترعرعت في أوغستا ، جورجيا ، وهي ستتحدث عن بعض قصص  طفولتها . ،	تمكنت فاني فلونو من التحدث إلينا اليوم رغم جدول أعمالها المزدحم.	neutral
40	لقد وضعت خمسة فصائل من U2's	أتعامل مع U2.	entailment
41	لقد وضعت خمسة فصائل من U2's	لم أتعامل مع فرقة يو تو على الإطلاق.	contradiction
42	لقد وضعت خمسة فصائل من U2's	عملت كل يوم على مفارز U2 لمدة أربعين عاما.	neutral
43	كنت الشخص الوحيد الذي ،إيه، يدير منظمات الاختبار في غرف الارتفاع الصغيرة.	لم يعجبني أن أكون الوحيد الذي يدير المنظمين لإجراء الاختبارات.	neutral
44	كنت الشخص الوحيد الذي ،إيه، يدير منظمات الاختبار في غرف الارتفاع الصغيرة.	أجريت الاختبارات في غرف ارتفاع مصغرة.	entailment
45	كنت الشخص الوحيد الذي ،إيه، يدير منظمات الاختبار في غرف الارتفاع الصغيرة.	عدد قليل منا كان من الذين أداروا المنظمين للاختبار.	contradiction
46	وأنا ، رئيس رقباء ، متقاعد ، كما قال ريك.	ما زلت أعمل حتى يومنا هذا.	contradiction
47	وأنا ، رئيس رقباء ، متقاعد ، كما قال ريك.	تقاعدت في عام 2002.	neutral
48	وأنا ، رئيس رقباء ، متقاعد ، كما قال ريك.	قال لك رايك بأنني متقاعد.	entailment
52	هناك بعض التوقعات للتدفق النقدي على مكتبي ، وأوه ، أه ، لمثل هذا كاتي ، هذا هو اسم العميل.	يكلف العميل الذي يطلق عليه كوتي 10000 دولار في الشهر.	neutral
53	هناك بعض التوقعات للتدفق النقدي على مكتبي ، وأوه ، أه ، لمثل هذا كاتي ، هذا هو اسم العميل.	يوجد عميل اسمه كتي.	entailment
54	هناك بعض التوقعات للتدفق النقدي على مكتبي ، وأوه ، أه ، لمثل هذا كاتي ، هذا هو اسم العميل.	ليس لدينا أي عميل يدعى كوتي.	contradiction
55	الفتاة التي يمكن أن تساعدني موجودة في جميع أنحاء المدينة.	الفتاة التي أحتاج المساعدة منها تعيش بعيداً.	entailment
56	الفتاة التي يمكن أن تساعدني موجودة في جميع أنحاء المدينة.	الفتاة التي ستساعدني على بعد 5 أميال	neutral
57	الفتاة التي يمكن أن تساعدني موجودة في جميع أنحاء المدينة.	لا يوجد أحد يستطيع مساعدتي.	contradiction
